,Building condition,Living area,Kitchen type,Bedrooms,Bathrooms,Price,Type of Property,Subtype of Property,Type of Sale,Neighbourhood or locality,Number of frontages,Furnished,Surface of the plot,Garden surface,Swimming pool,Terrace
6010,To be done up,127,None,3,1,"€ 279,000  279000 €",house,house,for sale,None,4,0.0,1256,None,0.0,None
6011,Good,124,None,2,2,"€ 199,000  199000 €",apartment,apartment,for sale,None,2,0.0,None,None,0.0,1.0
6012,Good,134,Installed,3,1,"€ 199,000  199000 €",house,house,for sale,None,3,0.0,83,23,0.0,None
6014,To be done up,221,None,5,2,"€ 750,000  750000 €",house,house,for sale,Bruxelles (19 communes),3,0.0,250,150,None,None
6015,Good,193,None,3,1,"€ 295,000  295000 €",house,house,for sale,None,3,None,790,350,None,None
6016,As new,75,USA hyper equipped,1,1,"€ 310,000  310000 €",apartment,apartment,for sale,None,4,0.0,None,None,0.0,None
6018,Good,250,Installed,2,None,"Make an offer starting from  € 315,000  Make an offer starting from  315000 €",house,house,for sale,None,4,None,645,645,None,None
6019,Good,274,Installed,4,1,"€ 419,500  419500 €",house,house,for sale,None,4,0.0,1186,952,0.0,None
6020,Good,345,None,5,2,"€ 455,000  455000 €",house,house,for sale,None,4,0.0,844,None,0.0,None
6023,Good,283,USA semi equipped,5,3,"€ 970,000  970000 €",house,villa,for sale,None,4,0.0,1068,900,0.0,None
6024,Just renovated,162,USA installed,3,1,"€ 189,000  189000 €",house,house,for sale,None,2,None,65,65,0.0,None
6026,As new,150,USA hyper equipped,3,1,"€ 385,000  385000 €",house,house,for sale,Zone Waterloo-BLA-Lasne-Rhode-Alsemberg,3,0.0,450,300,None,None
6027,None,84,Semi equipped,2,1,"€ 145,000  145000 €",house,house,for sale,urbain,2,None,172,80,None,1.0
6028,Good,300,None,4,2,"€ 688,000  688000 €",house,house,for sale,None,4,None,1757,None,None,1.0
6029,As new,34,USA hyper equipped,None,1,"€ 275,000  275000 €",apartment,flat studio,for sale,Bruxelles Sud,None,0.0,None,None,0.0,None
6030,As new,175,USA hyper equipped,3,2,"€ 675,000  675000 €",apartment,duplex,for sale,None,2,0.0,None,None,0.0,None
6031,Good,225,Installed,3,2,"€ 464,000  464000 €",apartment,apartment,for sale,None,2,0.0,None,None,0.0,None
6032,Good,80,Semi equipped,2,1,"€ 175,000  175000 €",apartment,duplex,for sale,OUPEYE,2,None,None,None,0.0,None
6035,As new,137,Hyper equipped,3,1,"Make an offer starting from  € 299,000  Make an offer starting from  299000 €",house,house,for sale,None,3,0.0,370,203,0.0,None
6036,Good,40,Installed,1,1,"€ 179,000  179000 €",apartment,apartment,for sale,Bruxelles,2,0.0,None,None,None,None
6038,Good,147,Installed,3,None,"€ 210,000  210000 €",house,house,for sale,None,2,0.0,530,None,None,None
6040,As new,309,Hyper equipped,5,1,"€ 749,800  749800 €",house,villa,for sale,None,4,0.0,1099,None,0.0,1.0
6041,None,236,None,4,2,"€ 550,000  550000 €",house,mansion,for sale,None,2,0.0,2990,None,0.0,1.0
6042,To renovate,None,Installed,3,1,"€ 255,000  255000 €",house,house,for sale,None,2,0.0,157,None,0.0,None
6046,None,180,Not installed,3,1,"€ 435,000  435000 €",house,house,for sale,None,4,None,1091,None,None,1.0
6047,Just renovated,230,Hyper equipped,5,1,"€ 850,000  850000 €",house,villa,for sale,None,4,None,1500,1300,0.0,None
6048,As new,175,Hyper equipped,3,1,"€ 289,000  289000 €",house,house,for sale,Aalst,2,None,419,250,None,None
6051,Good,206,Installed,3,2,"€ 479,000  479000 €",house,house,for sale,zee,2,None,50,None,None,1.0
6054,None,90,Hyper equipped,2,1,"€ 320,000  320000 €",apartment,apartment,for sale,None,1,0.0,None,None,0.0,None
6055,As new,175,USA hyper equipped,3,2,"€ 675,000  675000 €",apartment,duplex,for sale,None,2,0.0,None,None,0.0,None
6056,To be done up,180,Installed,3,1,"€ 139,000  139000 €",house,house,for sale,None,3,None,110,None,None,None
6057,Good,88,Installed,2,1,"€ 249,000  249000 €",apartment,apartment,for sale,None,3,0.0,None,None,None,None
6058,Good,133,Hyper equipped,3,2,"€ 448,446  448446 €",apartment,apartment,for sale,None,3,0.0,None,None,0.0,None
6059,Good,166,Installed,3,1,"€ 279,000  279000 €",house,house,for sale,None,3,0.0,402,250,None,None
6060,Just renovated,180,Hyper equipped,3,2,"Make an offer starting from  € 300,000  Make an offer starting from  300000 €",house,mansion,for sale,None,3,0.0,540,None,0.0,None
6061,As new,165,Hyper equipped,4,1,"€ 365,000  365000 €",house,house,for sale,None,2,None,None,500,0.0,None
6062,To be done up,132,Semi equipped,2,3,"Make an offer starting from  € 179,000  Make an offer starting from  179000 €",house,mixed use building,for sale,None,3,None,274,None,0.0,1.0
6063,Good,277,Installed,5,1,"€ 790,000  790000 €",house,house,for sale,None,2,None,310,190,0.0,None
6066,Good,117,Semi equipped,4,1,"€ 259,000  259000 €",house,house,for sale,Liège,2,0.0,104,31,0.0,None
6067,As new,171,Hyper equipped,4,None,"€ 439,900  439900 €",house,house,for sale,None,3,0.0,321,None,None,None
6069,As new,95,Hyper equipped,2,1,"€ 445,000  445000 €",apartment,apartment,for sale,None,2,0.0,None,None,0.0,None
6070,Just renovated,82,Installed,3,1,"€ 269,500  269500 €",apartment,apartment,for sale,None,2,None,None,None,0.0,None
6071,Good,190,Installed,3,1,"€ 495,000  495000 €",apartment,loft,for sale,None,2,0.0,None,None,0.0,None
6074,To be done up,119,Semi equipped,2,None,"€ 129,000  129000 €",house,house,for sale,None,2,None,90,None,None,1.0
6075,None,369,Installed,5,2,"€ 1,190,000  1190000 €",house,house,for sale,None,3,0.0,528,400,1.0,None
6076,Good,160,Hyper equipped,3,1,"Make an offer starting from  € 380,000  Make an offer starting from  380000 €",house,villa,for sale,None,4,None,1880,800,None,None
6077,Good,275,Semi equipped,5,None,"€ 449,000  449000 €",house,house,for sale,None,None,0.0,948,None,None,1.0
6078,As new,166,Hyper equipped,3,2,"€ 720,000  720000 €",apartment,apartment,for sale,None,4,0.0,None,None,0.0,None
6079,None,116,None,2,1,"€ 285,000  285000 €",house,house,for sale,None,2,None,239,164,None,1.0
6080,Good,103,USA installed,3,1,"€ 175,000  175000 €",house,house,for sale,None,3,None,310,160,None,None
6081,As new,102,Installed,3,1,"€ 335,000  335000 €",apartment,ground floor,for sale,None,3,None,None,None,None,1.0
6083,Good,157,Installed,3,1,"€ 220,000  220000 €",apartment,apartment,for sale,torhout,2,None,None,None,None,None
6084,To renovate,150,Semi equipped,3,None,"€ 140,000  140000 €",house,house,for sale,None,2,0.0,139,None,None,None
6085,None,231,Installed,3,1,"€ 595,000  595000 €",house,villa,for sale,None,4,None,4243,4243,None,1.0
6086,Good,185,USA hyper equipped,4,2,"€ 845,000  845000 €",house,villa,for sale,None,4,None,729,600,1.0,None
6087,None,165,Installed,5,1,"€ 445,000  445000 €",house,house,for sale,None,4,None,888,615,0.0,None
6089,To be done up,224,Installed,5,1,"€ 440,000  440000 €",house,house,for sale,None,4,0.0,1476,None,0.0,1.0
6091,As new,280,None,5,2,"€ 695,000  695000 €",house,house,for sale,None,3,None,477,None,1.0,None
6092,To renovate,205,Semi equipped,7,2,"€ 425,000  425000 €",house,mixed use building,for sale,Het zuid,2,None,88,26,None,None
6093,As new,350,Hyper equipped,3,1,"Make an offer starting from  € 1,400,000  Make an offer starting from  1400000 €",house,villa,for sale,None,4,0.0,516,125,0.0,None
6094,To be done up,118,Semi equipped,3,None,"€ 139,000  139000 €",house,house,for sale,None,2,None,240,150,None,None
6095,To be done up,600,Hyper equipped,5,4,"€ 1,790,000  1790000 €",house,villa,for sale,None,4,0.0,2671,2400,0.0,None
6097,As new,98,Not installed,2,1,"€ 355,000  355000 €",apartment,apartment,for sale,Brabant wallon,None,0.0,None,None,None,None
6098,As new,213,Installed,3,3,"€ 680,000  680000 €",apartment,penthouse,for sale,Churchill,3,None,None,None,None,None
6099,As new,94,Hyper equipped,2,1,"€ 398,000  398000 €",apartment,apartment,for sale,Gent en omstreken,2,0.0,None,None,0.0,None
6102,Good,55,Semi equipped,1,1,"€ 260,000  260000 €",apartment,penthouse,for sale,Bruxelles-Sud,2,0.0,None,None,0.0,None
6103,As new,115,USA installed,3,2,"€ 470,000  470000 €",apartment,apartment,for sale,None,2,0.0,None,None,0.0,None
6104,As new,186,USA hyper equipped,3,2,"€ 795,000  795000 €",house,house,for sale,None,2,0.0,132,70,0.0,1.0
6106,Good,306,None,4,1,"€ 619,000  619000 €",house,villa,for sale,None,4,None,930,None,1.0,None
6107,As new,None,USA hyper equipped,1,1,"€ 380,000  380000 €",apartment,apartment,for sale,None,3,0.0,None,200,0.0,None
6108,Good,160,Semi equipped,3,1,"€ 250,000  250000 €",house,house,for sale,None,3,None,393,None,None,None
6109,Good,165,Installed,4,2,"€ 589,000  589000 €",house,villa,for sale,None,4,None,700,None,None,1.0
6110,As new,130,Installed,3,None,"€ 579,000  579000 €",apartment,apartment,for sale,None,None,0.0,None,None,1.0,1.0
6111,None,90,Hyper equipped,2,1,"€ 499,000  499000 €",apartment,apartment,for sale,None,2,None,None,None,0.0,1.0
6112,As new,85,Installed,2,1,"€ 200,000  200000 €",apartment,apartment,for sale,Zone Centre Province du Luxembourg,3,0.0,None,16,0.0,None
6113,Good,122,Installed,3,2,"€ 380,000  380000 €",apartment,apartment,for sale,None,4,0.0,None,None,0.0,1.0
6115,None,155,None,4,1,"€ 265,000  265000 €",house,house,for sale,None,3,0.0,562,None,0.0,1.0
6117,To renovate,203,Not installed,4,1,"€ 1,800,000  1800000 €",house,exceptional property,for sale,None,4,None,2910,2910,None,None
6120,As new,172,Installed,6,2,"€ 465,000  465000 €",house,house,for sale,None,2,0.0,183,None,None,None
6123,To renovate,212,Installed,4,1,"€ 815,000  815000 €",house,mansion,for sale,None,2,0.0,250,125,None,1.0
6124,To be done up,155,USA semi equipped,4,2,"€ 585,000  585000 €",house,house,for sale,R Auderghem Boitsfort,3,0.0,135,40,None,None
6125,Good,135,Installed,2,1,"€ 285,000  285000 €",apartment,duplex,for sale,None,None,0.0,None,None,0.0,None
6126,As new,160,Installed,4,1,"€ 529,000  529000 €",house,house,for sale,None,None,None,105,None,0.0,1.0
6127,As new,205,USA hyper equipped,2,2,"€ 795,000  795000 €",apartment,loft,for sale,None,2,0.0,None,None,0.0,None
6128,To be done up,172,Semi equipped,3,1,"€ 220,000  220000 €",house,house,for sale,NeufchÃteau,3,0.0,370,200,0.0,None
6130,Good,320,Installed,3,1,"€ 1,250,000  1250000 €",house,exceptional property,for sale,None,4,0.0,49317,1500,None,None
6131,As new,198,Installed,4,1,"€ 594,000  594000 €",house,house,for sale,None,3,0.0,130,69,None,None
6133,As new,130,Hyper equipped,3,1,"€ 315,000  315000 €",apartment,apartment,for sale,Antwerpen,2,None,None,None,None,1.0
6134,As new,174,Hyper equipped,4,2,"€ 446,246  446246 €",house,house,for sale,None,3,None,512,356,None,None
6135,As new,82,Hyper equipped,2,1,"€ 239,000  239000 €",apartment,apartment,for sale,Oost- Vlaanderen,None,None,None,None,None,1.0
6136,Good,202,Hyper equipped,3,1,"€ 399,000  399000 €",house,villa,for sale,None,4,0.0,709,None,None,1.0
6139,As new,288,None,5,None,"€ 385,000  385000 €",house,house,for sale,None,4,0.0,801,None,0.0,None
6140,Just renovated,100,Installed,3,1,"€ 250,000  250000 €",house,house,for sale,None,4,0.0,302,None,0.0,1.0
6141,As new,60,USA hyper equipped,1,1,"€ 215,000  215000 €",apartment,apartment,for sale,Gent en omstreken,4,0.0,None,None,0.0,None
6142,Good,110,USA hyper equipped,2,1,"€ 349,000  349000 €",house,house,for sale,None,2,0.0,157,None,None,1.0
6144,To be done up,144,Semi equipped,3,1,"€ 336,000  336000 €",house,house,for sale,None,3,None,609,None,None,1.0
6145,Good,148,Installed,3,None,"Make an offer starting from  € 225,000  Make an offer starting from  225000 €",house,town house,for sale,None,3,None,348,200,None,None
6146,To be done up,245,Installed,3,1,None,house,house,for sale,None,3,None,525,400,None,1.0
6147,Good,None,None,3,3,"€ 550,000  550000 €",house,house,for sale,None,2,None,162,None,0.0,1.0
6148,As new,72,Installed,2,1,"€ 258,000  258000 €",apartment,apartment,for sale,None,2,None,None,None,0.0,None
6149,To be done up,90,None,2,1,"€ 165,000  165000 €",house,house,for sale,None,2,0.0,44,None,None,None
6150,Good,106,USA semi equipped,2,1,"€ 395,000  395000 €",apartment,apartment,for sale,None,2,0.0,None,None,0.0,None
6151,Good,58,Installed,1,1,"€ 165,000  165000 €",apartment,apartment,for sale,None,2,1.0,None,None,0.0,None
6152,Good,176,Hyper equipped,3,1,"€ 320,000  320000 €",house,house,for sale,None,3,0.0,218,None,None,None
6153,As new,142,USA hyper equipped,2,1,"€ 579,000  579000 €",apartment,duplex,for sale,None,2,0.0,None,None,None,None
6155,To renovate,247,Installed,3,1,"€ 399,000  399000 €",house,house,for sale,None,None,0.0,850,None,0.0,1.0
6156,Good,245,None,3,1,"€ 280,000  280000 €",house,mixed use building,for sale,None,3,None,126,None,None,1.0
6157,As new,66,USA hyper equipped,1,1,"€ 395,000  395000 €",apartment,apartment,for sale,Bruxelles Sud,None,0.0,None,None,0.0,None
6159,Good,161,Installed,2,1,"€ 475,000  475000 €",house,bungalow,for sale,None,4,None,620,450,0.0,None
6160,As new,373,Hyper equipped,5,2,"€ 1,045,000  1045000 €",house,exceptional property,for sale,None,4,None,3963,3968,0.0,None
6161,Good,80,Installed,2,1,"€ 169,000  169000 €",house,house,for sale,None,2,None,46,None,None,None
6162,To be done up,165,Installed,3,1,"€ 249,000  249000 €",house,house,for sale,None,3,0.0,903,None,None,None
6163,As new,745,Installed,3,None,"€ 799,000  799000 €",house,house,for sale,None,None,0.0,2162,718,None,None
6164,Just renovated,129,USA hyper equipped,2,1,"€ 298,000  298000 €",apartment,duplex,for sale,None,2,0.0,None,None,0.0,None
6166,Good,87,Semi equipped,3,1,"€ 315,000  315000 €",apartment,apartment,for sale,Brabant flamand,None,None,None,140,0.0,None
6167,As new,108,Installed,2,1,"€ 335,000  335000 €",apartment,apartment,for sale,Brabant Wallon,None,0.0,None,None,0.0,None
6168,As new,200,Installed,4,2,"€ 511,500  511500 €",house,mansion,for sale,None,2,None,40,None,0.0,None
6169,Good,51,None,1,1,"€ 99,000  99000 €",apartment,apartment,for sale,None,2,0.0,None,None,0.0,None
6170,Good,195,USA hyper equipped,4,1,"€ 425,000  425000 €",house,house,for sale,None,2,0.0,211,45,None,None
6171,As new,124,Installed,3,1,"€ 289,000  289000 €",house,house,for sale,None,3,0.0,320,None,None,1.0
6173,Good,250,None,5,2,"€ 1,225,000  1225000 €",house,villa,for sale,None,4,0.0,2070,None,1.0,None
6175,As new,400,Installed,4,3,"€ 1,390,000  1390000 €",house,house,for sale,None,4,1.0,35000,20000,1.0,None
6176,As new,110,Installed,2,1,"€ 390,000  390000 €",apartment,ground floor,for sale,None,2,0.0,None,None,0.0,None
6177,To renovate,129,Not installed,2,1,"€ 170,000  170000 €",house,house,for sale,None,4,0.0,660,None,None,1.0
6179,None,45,None,1,1,"€ 110,000  110000 €",house,house,for sale,None,None,1.0,1512,1460,None,None
6180,As new,167,Hyper equipped,3,1,"€ 329,000  329000 €",house,house,for sale,9120 Beveren met deelgemeenten,2,0.0,184,100,None,None
6181,As new,127,Installed,3,1,"€ 402,500  402500 €",house,house,for sale,Gent en omstreken,2,0.0,240,102,0.0,None
6182,As new,75,Installed,1,1,"€ 269,000  269000 €",apartment,apartment,for sale,None,1,None,None,None,0.0,None
6185,Good,300,Installed,2,1,"€ 539,000  539000 €",house,house,for sale,None,4,None,1624,None,None,1.0
6186,To renovate,324,None,5,1,"€ 995,000  995000 €",house,exceptional property,for sale,None,4,None,5003,4790,None,None
6187,As new,451,USA hyper equipped,5,2,"Make an offer starting from  € 495,000  Make an offer starting from  495000 €",house,house,for sale,None,3,0.0,1110,1110,None,1.0
6189,As new,99,USA hyper equipped,2,1,"€ 636,000  636000 €",apartment,apartment,for sale,Projets Bruxelles Sud,2,0.0,None,None,0.0,None
6190,As new,85,USA hyper equipped,1,1,"€ 266,000  266000 €",apartment,apartment,for sale,Regio Tienen,2,None,None,None,None,None
6194,To be done up,99,Semi equipped,2,1,"€ 149,000  149000 €",house,house,for sale,None,2,0.0,210,148,0.0,None
6195,To renovate,162,Installed,3,1,"€ 470,000  470000 €",house,house,for sale,Brussels ZE,2,0.0,289,190,0.0,None
6197,As new,403,Hyper equipped,6,2,"€ 998,000  998000 €",house,exceptional property,for sale,None,4,None,1016,None,0.0,1.0
6198,As new,185,Hyper equipped,4,2,"€ 665,000  665000 €",house,house,for sale,None,2,None,173,60,None,None
6199,To be done up,142,Semi equipped,3,1,"€ 269,000  269000 €",house,house,for sale,None,2,None,270,None,None,None
6200,Just renovated,77,USA hyper equipped,3,2,"€ 695,000  695000 €",apartment,apartment,for sale,None,2,0.0,None,None,0.0,None
6201,Just renovated,133,Installed,3,1,"Make an offer starting from  € 179,000  Make an offer starting from  179000 €",house,house,for sale,None,3,0.0,170,None,0.0,None
6202,Good,69,Installed,1,1,"€ 230,000  230000 €",apartment,apartment,for sale,None,2,0.0,None,None,None,None
6204,As new,157,Hyper equipped,3,2,"€ 849,700  849700 €",apartment,apartment,for sale,None,3,0.0,None,None,0.0,None
6207,Good,468,Installed,5,3,"€ 945,000  945000 €",house,apartment block,for sale,None,2,None,170,53,None,1.0
6208,Good,211,Installed,4,1,"€ 415,000  415000 €",house,house,for sale,Regio Leuven - Tienen,3,0.0,415,None,0.0,1.0
6209,To renovate,189,Installed,4,2,"€ 575,000  575000 €",house,apartment block,for sale,None,2,0.0,75,None,0.0,None
6210,As new,175,Hyper equipped,3,2,"Make an offer starting from  € 450,000  Make an offer starting from  450000 €",house,house,for sale,None,2,1.0,537,537,1.0,None
6211,Good,208,Installed,3,None,"€ 379,000  379000 €",house,house,for sale,None,None,0.0,1228,1100,None,None
6212,To be done up,350,Semi equipped,3,3,"€ 699,000  699000 €",house,apartment block,for sale,None,2,0.0,141,None,0.0,None
